lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
ngag,Coverb,"tell off, 'knock back'",,638546314030451691A LexExampleSentence.wav,Nanawunyin ngag wondi nganingin-yi yibiwi-yi,That's the way my father told him off.
bu-,Verb,"hit, ford (of river)",,bu_sentence_yinga-buynga-nana-wurren-gayardung-yanggi.wav,"Yinga-buyn.ga nana wurren, gayardung yanggi.","I wanted to hit the kid, he ran away."
miwu,Coverb,"rise, swell",,638545456138631507A LexExampleSentence.wav,miw ya-ban mayin.,The bread is rising
wularrgin,Noun,water divide,,,,
borlorrodba-,Verb,"to spread out",,,,
poisonim,Verb,poisonim,,,,
nurrugu,Pronoun,2nd plural [Dative],,,"Dan-ya nujingi, nurrugun.gin nurrugu laglan","You stay here, your camps for you."
nungguyiyn,Noun,"relations, close associates, family",,nungguyiyn.wav,Nganinggin nungguyiyn ngawun-dagbarlan ngawurnen.,I have a lot of family.
gamurrgila,Noun,"ring place, ceremony ground",,,,
danani,Demonstrative,[3rd Singular] this one,,,,
lirrngangma,Coverb,"laugh at",,,"lirrngangma ya-jingin gunga ya-gologoloyin lirrngangma ya-yu, goloyi-wujban","He's laughing at  him, he's laughing, a laughing bugger."
yilunja,Noun,"brisket, chest",,yilunja.wav,"Yilunjabarndin, yilunja toomuchi  barndin jingindiya","Yilunjabarndin, because he had a sore on his chest."
yimurna,Noun,paternal dreaming,,,,
yiderreman,Noun,crawler,,,yiderreman nayirri.,He became a crawler [baby].
jilngida,Noun,sweat,,jilngida_sentence_ngangun-men-jilngida-yi.wav,Ngan.gun-men jilngida-yi.,We work up a sweat.
gabigabi,Noun,calves (Kriol),,,,
dirrb,Coverb,"get stuck",dirrba,,,
luglugba,Coverb,"swell up",,luglugba.wav,"Luglugba ya-jingin naaa (paining, you know) nanba-wan garlirlij ya-nyangan-gu nungguru",It’s painful and then the hand swells up.
gono-,Verb,"fill up (with liquid or honey)",,,"gonorri jamam, yilamagan wiya, goyin",
wod,Coverb,"sit head out; to stick out (head), to look",wodba,,Barlarra ya-yu wolo-ya yibam-biji wodba,"He is hiding in the grass, only head out."
gordogordogordog,Noun,kind of round troll,,,,
momorr,Noun,"wire, telephone call, string",,momorr.wav,Wurr-mendiya that momorr na.,They followed that line.
wirridwirrid,Noun,rainbow bird,,,,
lidbu-,Verb,"to sew",,638495244858503698A LexExampleSentence.wav,Ya-lidbun yiwarlng.,He/she sews it. She's sewing a dress.
marrabibi,Noun,"headband",,,wurr-gindiya marrabibi marlarluga ngalaga yiwarringun ngunung,"old people put on headbands, bad for us."
bogban,Adjective,"yibol-warang (of hair, wogogban)",,,"yibogban, yibol-warang 'bogbogba ya-jingin yibol-warang","He's grey-haird, he's got grey."
jirri-warang,Noun,"run-away, eloper",,,ngan-gandi jirri-warang,He took me away with love magic.
lin.gaj,Coverb,listen to,,,"lin.gaj jingi wurrugu, yiguyu-wu","You listen to them, to your mother."
ngunagban,Adjective,"good smell",,,mayin ngunagban,goodsmelling bread
gagaygba,Coverb,"shout, be noisy, sing out (as [Inclusive] calling to someone or country)",,,gangman nu-lawu mala gagaygba yawudjingin,"You go to the kangaroo, they are singing out."
didij,Coverb,go camping out,,,Yilamagan didij nganjagan nganjigbe damirlan,"Maybe I'll go camp, I will go this way."
Japanee,Noun,Japanese,,,,
nyanga-,Verb,"to come",,,Mami Nonomarran-mulu wudjangandi  moticar gabarri yirrug-malang,"Mommy Nonomarra and all came in a car too, (along with) us."
yalan,Noun,ironwood,,,Dimalan me wurrugu bagbag yalan wayana wuja diyl bu wurrugu,"Break eucalyptus for them, ironwood and all, light a fire for them."
Yiwerrngali,Noun,"yiwerrngali, name",,,,
lordo,Noun,round tucker,,,,
ginydan,Noun,stone spear,,ginydan.wav,,
judiyina,Noun,Tawny frogmouth,,,,
Kaway,Noun,Kaway,,,,
lambarra,Noun,"[Inclusive]-law",,,"ngawun-gin lambarra ngayugu yawudjinging-ga yigeyu-warang ngunung; lambarra-wu nga-jingin wurrugu ngorlogba, lambarr-biji ngorlog ngorlog nga-won lagu, yidugal wonggo ngorlogba nga-won","I call lambarra where they have my niece/nephew, I talk to them, I only talk to lambarra, not to yidugal"
delgujban,Noun,lame person,,,,
mulurru,Noun,old woman,,,lege-mulu marlarluga mululurru yawu-djingin,A few old men and women are there.
buda,Noun,"black plum (Vitex glabrata), pupil of eye, wart",,buda.wav,"Buda, gulid, jubung wurr-mendiya nan-ya jabalawarna-ya.","Black, green plum tree they got, and put it on the grinding stone."
gulinyin,Noun,"scrub",,,yilamagan gangma-wu yilamagan wurrguru-wu gulinyin,"Maybe for kangaroos, maybe devils' scrub"
malbardajgu,Noun,big goanna,,,,
marnandum,Noun,water lily pod,,,wrr050,
nge-,Verb,"to sing, call",,nge_sentence_nge-ngen.wav,Nge-ngen.,I sing.
derlma,Coverb,"leap out, splash out",,,,
mernde-bubu,Noun,devil-killer,,638545412316544611A LexExampleSentence.wav,"mernden-bubu yibiyan ya-nyangan damirlan borlgobborlgob, yingan.gun-bu","Murderer man comes this way sneaking, he might kill us."
nyalugin,Adjective,soft,,nyalugin_sentence_layin-ye-men-warrguj-mod-ya-luma-danani-na-yinyalugin-layin.wav,"Layin ye-men warrguj, mod ya-luma, danani na yinyalugin layin.","S/he picks up the meat, this (is) soft meat."
miyarrgalan,Noun,"wild lily",,,wurr-mendiya langgan-ya miyarrgalan onion marraj,"They got miyarrgalan in billabongs, like onions."
gelelma,Coverb,"have eyes open",,,"gelelma ya-jingin gudan-ya, yilamagan yum-nya, o yilamagan yagurrgba; yilamagan borlgob wurrangiya gunga; gelelma jingindiya wurrugu, led wunggu-darri","He has his eyes open, maybe by a tree, or maybe he's asleep; maybe they snuck up on him; he had eyes open for them, he saw them"
luma-,Verb,"to cut",,638495315875451382A LexExampleSentence.wav,layin lumarri wondi-wan,She cut the meat and gave it.
murrarda,Noun,crab,,638546264714959356A LexExampleSentence.wav,murrarda wiya-ya yirr-mendiya,We got crabs in the water.
ngarrangarrama,Coverb,stagger,,,ngarrangarramba yanja yilamagan warlad,He's staggering maybe he's sick
barragbarrag,Noun,kidney fat thief,,,barragbarrag-garang Daly-River-wunba,A `kidney fat stealer' from Daly River
garnin,Noun,"spear, beer",,garnin.wav,Garnin wurr-marnburriya buda.,They made spears from black plum.
borrodin,Adjective,"pretty, nice-coloured",,,,
bij,Coverb,"break of day",,638495221138998281A LexExampleSentence.wav,"bij ya-nyangan marninggani, larrawad ya-yana","Sun comes up, it brightens the country."
lawu-,Verb,"get, fetch, get to, reach",,lawu_sentence_wiyan-lawu-bog-me.wav,"Wiyan lawu, bog me.","Get the water, dip it up."
walanja,Noun,"goanna, V. Gouldii",,walanja.wav,warlabang yawurrya walanja-wu.,They go hunting for goanna.
wugadagadag,Coverb,"blunt, not sharp one",,,"wugadagadag wonggo ye-men mod, wonggo ye-men mod","no good one point, it doesn't cut  = manyujuj `blunt'"
dang-nyi,Demonstrative,"that, [Ergative case].",,,,
mayurdu,Noun,"slush, of crushed antbed",,,wurr-gindiya wurrugu mayurdu ngardan,They put antbed slush on them.
warrangmi-wujban,Noun,swearer,,,,
jarrugjarrug,Adjective,"piebald, spotted, coloured",,,"yinyeyn jarrugjarrug , jigjig jarrugjarrug","spotted body, a spotted bird"
nyerlg,Coverb,"to strip meat, open out",,,wurr-mendiya jerr-wa nanba-wan nyerlg wurr-mendiya,"They took it from the ground over, then the meat was stripped."
bulgu-wunba,Noun,middle finger,,,,
ngawurnen,Noun,"big mob, many",,bula_sentence_bula-mulu-yawudjingin-ngawurnen.wav,Bula-mulu yawudjingin ngawurnen.,Many boys are there.
dinydinyma,Adjective,sharp,,,"wunyujuj-gunba yawurr-marnbun, diyndiynma","From blunt, they make it sharp."
shovel,Noun,shovel,,,,
jirre-,Verb,"lay eggs",,,"ya-jirren jarrug yilamagan jigjig yilamagan warrija, guwarlambarla.","Him lay eggs, maybe bird, crocodile, or turtle."
lidi,Noun,long horned grasshopper,,638495245162903981A LexExampleSentence.wav,ya-jingin wolo-ya lidi.,It lives in the grass.
we-,Verb,"fall, be born, die",,638653412463532110we-.wav,Gaya-biji wendi.,It's just born.
milid,Coverb,"show to",,638545430173305363A LexExampleSentence.wav,milid nga-giwe yinggi yibalanggin madin,I'll show you a new word.
werreynbu-,Verb,"sing, ensorcell",,werreynbu_sentence_yi-nga-werreyn-bu-yinggi.wav,Yi-nga-werreyn-bu yinggi.,I might sing you.
ngamanda,Interrogative,what,,,,
miyarlunguj,Noun,currant,,,mayin yawurr-men.ga mardurrudban onion-marraj,"They get that tucker, like an onion."
nyilngman,Adjective,"pretentious, [Kriol]. `flash bugger', crying bugger, humbugger, can't sit with us etc.",,,nana wurren yinyilngman lurleglurle ya-jingin waray ya-gan yiguyu,"this child is humbugger he cries, he asks for mother."
gelengma,Coverb,"dislike",,gelengma_sentence_ya-gengmiyin-go-marluga-wu-yilamagan-gelengma-ya-nan.wav,Ya-gengmiyin go marluga-wu yilamagan gelengma ya-nan.,"He's afraid of the old man, maybe he doesn't like him."
yiguyu,Noun,mother,,,"nga-gandiya lurrbu yiguyu-warr ngunung, nga-nirriya go nana magulu danani yinggawun mami nga-bujurri yinggi","I brought it back to my mother, I brought the bush potato to her, `here is for you, mama, I dug it for you'."
jabij,Noun,skin,,,,
gijburrma,Coverb,"douse (with water, wiya-yi), put out",,,Gijburrma garndung; wiyan wurr-gindiya; wurr-bundiya lowaglowa.,"They threw the water in the rockhole, they played."
man.girrin,Adjective,satisfied (after a fight),,,"man.girrin nga-jingin, nga-bundi yilgbayi","I am satisfied, I beat him/her up all right."
wunggunburr-,pronominal,"[3rd Plural]/[3rd Plural]",,,,
dijge-,Verb,"to pound",,,,
lorron,Coverb,"suspend, hang up;",,,"lorron wurr-gindiya layin, mayin dubuluj-a","They hung up the meat, tucker."
Dimalambeng,Noun,Camp Oven Bore,,,,
jolyorrg(ba),Coverb,"soak",,,jolorrg wurr-gindiya magulu na,They soaked the magulu [bush potato] now
barrgji,Adjective,"hard, forcefully",,,,
yiyarrwa,Noun,"father's sister's son",,,,
bujbujin,Noun,"black ground, wu-meleman gonjon",,,,
dan-mulu,Demonstrative,"these (people, animate)",,,,
ngab,Coverb,"to get nothing (e.g. when hunting)",ngabngab,ngab_sentence_ngab-nga-mendi.wav,Ngab nga-mendi.,I got nothing.
garrijindin,Noun,bucket,,,,
jumban,Adjective,"one who is behind",,,,
libi,Noun,"fingernail",,libi_sentence_libi-warang-yiwarli.wav,libi-warang yiwarli,nail-having hands
murririn,Noun,"wasp w. red tail, mud-dauber, [Ergative case]. murruri-yi",,638546265726280415A LexExampleSentence.wav,murririn ya-nyangan.ga,the wasp is coming
Nonomarran,Noun,"name, Elsie Raymond",,,,
gonbowon,Noun,green ant,,,"yumin-nya ya-jingin, yumin nana gal ya-lawun, yarlarrg mirrijmirrij ye-men","It sits in the tree, it goes high,  tangle up that branch."
dulgin,Noun,urine,,dulgin.wav,dulgin meyirri,S/he urinated.
yilgbayi,Adjective,"[Allative] right, OK, enough",,,Yilgbayi nganja lurrbu ngani-gan,"OK, I'm going back, I'll take you"
bamdal,Coverb,"pound, hammer on",,,,
luyurr(ma),Coverb,pay attention to,,,luyurrma ya-yana garlaja-wu,He is worried about his brother.
magi,Noun,vagina,,,mangali and bula,
yarrayan,Noun,"`ill coolibah",,,"yarrayan goyin yayungga, yumin-barra wudu-warra","(There's) honey in the yarrayan, in the smaller trees."
jodjonggali,Noun,jealous person,,,,
int,Interrogative,[Interjection],,,,
mengmengma,Coverb,"be extensive",,638545397852114403A LexExampleSentence.wav,ngawun wudarri-wuya ngamanda-warda mengmengma ya-nyanga-n yijad,"nothing, the two of them looked, what's that big thing coming?"
Jabirringgi,Noun,one of the Lightning Brothers,,,,
yidulum,Noun,mother louse,,,"yidulum ya-marnbun jarrug, didin wuduwudu","The mother louse makes eggs, the lice are small."
din,Coverb,"blame; shut eye",dinma,,Wonggo legen-yi bangbu-yi dinma nganbudarri,"Not one woman blamed me. [i.e., many did]"
nawurla,Noun,skin term,,,Mightbe wurr-yanarri doit nan-guya Nabida-warrma nawurla,"Maybe those two `did it', nabida and nawurla."
mardulg,Noun,wild cucumber,,638545318972868241A LexExampleSentence.wav,"mardulg ya-jingin yirrgulu-ya, yirr-ngundiya  mawarlam-barra yirr-ngundiya","Mardulg is by the river, we ate it with the skin."
jurlg(ba),Coverb,"push",,,jarrang-nyi jurlg ya-gan jarrang-barra,"The current pushes it, with the current."
jongon,Noun,north,,,"yi-jongon, jongon-ba nyangandi","Southerner, he came from south."
ngarraban,Adjective,hot,,,,
nurrugun.gin,Pronoun,"yours",,,,
golma,Coverb,"by oneself, be alone",golgolma,638480712967114919A LexExampleSentence.wav,golma wudjingindi-wuya wurre-wuya guyamin-bi,The two children sat apart the two of them
lurrbu,Adverb,"back, home",,lurrbu.wav,"Nganburr-won again, lurrbu.",And they give back to me.
birl,Coverb,"break (long object, leg)",,,,
wardaba-,Verb,"shake, yandy, sift",,,"yordin ya-wardaba, flour ya-wardaba",She's yandying the ashes.
nan-bi-wi,Demonstrative,that one right there,,,"Ngiwa dagbalarri wumunburra, nanbiyi ya-dagbarlan","Yesterday he had money, he still has it."
doyn-bari,Qualitative,crooked,,,wurne doyn-bari,crooked bone
wujuju,Noun,March fly,,,,
barn-garang,Noun,murderer,,638475533577652806A LexExampleSentence.wav,,"Maybe he was `poison-having'', having killed a man. [i.e., had committed a blood deed]"
narrng,Coverb,"tangle, get stuck",narrngma,narrng.wav,Wiya-ya narrng wendi yumin-ya.,It got stuck on/in the tree.
jaburru,Adverb,"up ahead, [Inclusive] the lead",,,momorr gelewurri jaburrumin,She sent a message ahead.
mun.garlarrgin,Noun,conjunctivitis,,638546236104776953A LexExampleSentence.wav,"Barndin na ya-jingin yimum, mun.galarrg-ji ya-bun, ya-dagbarlan mun.galarrg","His eye is sore, conjunctivitis is affecting him, he has conjunctivitis"
ganggung,Noun,"mucous, bad cold, snot",,,ganggung nga-wudba,I am chucking mucous
wunerrenerrejban,Adjective,striped,,,,
marrgbarrgin,Noun,"cramps",,marrgbarrgin.wav,Marrgbarrgjin mendi yarlgud burderde-warrmin,Cramps got his calf right up to the knee.
jabulma-,Verb,"smoke, [verbal inflection]",,,,
ngabayardu,Noun,"flood, deluge",,,,
gelinye-wujban,Noun,gossip,,,"yilamagan yiwarnagari bangbun ya-walinan, ya-gelinyen; ngamanda-wu ngani-gelinyen",M
wan,DF Suff,"and, at the time that",,,,
bombim,Coverb,"bomb, Kriol",,,,
yirlorloban,Noun,King Brown,,,,
mumbinbi,Coverb,"clearly, transparently",,,mumbinbi yirrugu dan-ya dilyagba-wuya nu-nayin mumbinbi yirrugu,"you  come out la we, look at each other longingly, no shame [yerreba wagbawun]"
ma-,Noun class marker,"noun class",,638506583550685288A LexExampleSentence.wav,megerrman ma-man,good yam
Domawug,Noun,personal name,,,,
nyadagurrg,Noun,"peering bugger",,,wunggu-darriya ledba,S/he looked at them
gidigba-,Verb,"to tickle",,gidigba_sentence_yawurr-gidigbiyin.wav,Yawurr-gidigbiyin.,They tickle each other.
Jigurra,Noun,name,,,,
gurrumbulma,Coverb,be nauseous;,,,"Gurumbulma nga-jingin mejern, gorningmiyin.","My stomach is nauseous, to vomit."
beng,Coverb,"clap, music sticks",,,,
ngenyje--,Verb,choke,,,Nga-ngundi layin mabirral ngan-ngenyjerri,"I ate dry meat, it choked me."
darab,Coverb,"bog",,darab_sentence_wurren-darab-ye-wen.wav,Wurren darab ye-wen belg-ja [belgin-ya].,The child gets stuck in the mud.
nganinggin,Pronoun,mine,,,Belerren barnnga gejgej nga-gindi yijamuyn-ngunung Ngorlogba nganinggin-gu yijamun-gu,"I asked my mother's father for ghost gum bark, talking to my mother's father."
miday,Noun,"mate, friend",,638326873444687974A LexExampleSentence.wav,nganu miday,my friend
mungguj-gurlang,Noun,`bunji gither',,,mungguj-gurlang wudjingindiya murag-ja,two bunjies were sitting in the shade
janadba-wujban,Noun,"slow person, slow walker",,,,
meynje-,Verb,"feel, grope about",,638545415178568777A LexExampleSentence.wav,Yayiwurr-meynje wungija,They might grope about in the dark.
jiliwirrij,Noun,"bird",,,"jiliwirrij ya-jingin langgan.ya, ya-ngugngun gubijibiji",Rainbow bird? lives in billabongs and eats tadpoles.
lerrblerrba,Coverb,"tap, clap",,lerrblerrba.wav,Lerrblerrba ya-bun buran.,He taps the boomerang.
yiwung,Noun,black currant,,,"yiwung, yirr-ngundiya yiwung",We ate yiwung.
yiwarna,Adjective,"next, another, different",,,,
gunyju,Noun,tobacco,,,,
yu-,Verb,"Be, be inside or inherent [Inclusive]",yayungga `there being' X,,"liwarrga ngarda-ya yayu, yijarlo ya-yu wumunburra-ya","Ground sugar bag is (found in) antbeds, some in rock."
mudu,Noun,women's ceremony,,,,
mardarrgu,Noun,black plum type,,638545317260734360A LexExampleSentence.wav,"madarrgu ngarr-ya jarrambu, wumunburra-ya ya-yu","let's go look for madarrgu, it's in the rock"
-bari,Noun,quantifier,,,garlirlij-bari,swollen up
gulid,Noun,green plum,,gulid_sentence_buda-gulid-jubung-wurr-mendiya-nan-ya-jabalawarna-ya.wav,"Buda, gulid, jubung wurr-mendiya nan-ya jabalawarna-ya.","Black, green plum tree they got, and put it on the grinding stone."
yimumbijibijib,Noun,eyelash,,,,
jinggiyn,Noun,firestick,,,"jinggiyn wurr-mendiya bag yanimawu, birrij birrij wurr-mendiya wuja-wu diyl wurr-bundiyathey lit it wolon wurr-gindiya barrwa","They got jinggiyn, broke it like this, kneaded it for fire; they lit it and put grass below"
bede,Coverb,"not crawl yet, be stationary (of baby)",,,"Bede ya-jingin, ya-jingin lege-weng  Bede yawu-dayin gajigaji wagbawun","He's stationery, he sits in one place; they have become `bede', don't walk"
wu-walu,Noun,"pinky finger",,,,
ngaralng,Coverb,"to be dusk, darkening",,ngaralng_sentence_ngaralng-yayu.wav,Ngaralng yayu.,It's dusk/it's nearly dark.
jornog,Coverb,"to fill up, eat o.'s fill",,jornog.wav,nga-ngundi jornog mayin.,I ate my fill of tucker.
munggayin,Noun,"X-~, of X country",,,,
Mamarli,Noun,name,,,,
yinyeyn,Noun,body,,,yanja go warljub 11:25 yinyeyn-nya,It goes into its body. [when infant is heated]
Ngayadiwan,Noun,personal name,,,,
gawarrgan,Adverb,higher up,,,,
jibilyuman,Noun,whistle duck,,,jibilyuman ya-jingin billabong-ya yawung-gan dembu langgan-ya ya-jingin,"Whistle duck lives on billabongs, we go and it's picking up (food) in the billabong."
warli,Noun,"creek, tributary, branch; arm, fingers, hand",,,,
yirrijingbe,Verb,[1st Exclusive Plural] go,,,,
majagarr,Noun,"headdress, gumurndunga",,,majawalanggin wuja bayn.ga,Burnt grass where the fire burnt it
mad,Coverb,"obscure, shut up",madba,638495334718206470A LexExampleSentence.wav,Mad ngan-men yimum mungarlarrg-ji,"My eye is shut, I have sticky-eye."
ngone,Noun,spear,,,wudbarri ngone ngab mendi,"He threw the spear, got nothing."
werlelyerr,Coverb,"be hanging, suspended",,,werlelyerr ya-jingin yiberr.,His legs hanging down.
winyin,Adposition,that one now,,,,
yiburuwun,Noun,good hunter,,,minini wurr-marnburriya yiburuwun,They made the dog a good hunter
jaburrunggun,Adjective,first,,jaburrunggun_sentence_worlorlma-nanani-yijaburrunggun-wiyan-yigarlarl-wan-bog-me.wav,Worlorlma nanani yijaburrunggun wiyan yigarlarl-wan bog me.,"Fill up this previous water, and scoop up clean (water)."
yidawurru,Noun,"paddy melon (along Victoria Hwy), striped",,,,
yow,Coverb,"lay down, put down on, load into gi-; put into or onto container",,,Dangindi-warra wurr-gindiya wurren yow dangindi-ya,They laid the child down on the paperbark.
dirrardala,Coverb,"rainbow",,,,
blanket,Noun,"blanket, Kriol",,,,
jadban,Adjective,generous,,jadban_sentence_yijadban-yawon-burr-gin.wav,"Yijadban yawon-burr-gin; Joy yanggun-won, gej yanggunburr-gin, danani lawu, dana me","They call them generous. He gives to them; they ask them, get this, take this."
ngayal,Noun,flower,,,danani ngayal-warang ya-gajun wumunburra-ya,This one with flowers stands in the rocks.
berlbawan,Adjective,"on the bank, along the side, fenceline",,,,
borlorrodba,Coverb,"spread out",,borlorrodba_sentence_borlorrodba-yawurr-men.wav,Borlorrodba yawurr-men.,"They spread, wash and soap it."
jubung,Coverb,"pound",,638494492803882601A LexExampleSentence.wav,jubung yirr-mendiya ngamandagan ngardan,jubung nga-mendi mayin.
